f0f8dbc5-77f2-4368-abb2-4b9f9dc3e340, [14:09:18:809:50958809:809253000, Cliente 3]
89add275-2f14-4bc8-80f5-9aa2a08608b7, [14:09:18:809:50958809:809253000, Cliente 3]
26ed83a2-2daf-4522-aa6f-c6bc2704eb17, [14:09:19:821:50959821:821112000, Cliente 4]
5ebb3232-9d09-44e7-8c33-c6482d180622, [14:09:19:821:50959821:821112000, Cliente 4]
f2fc8256-f43c-4914-8e3e-9069e80bc312, [14:09:19:821:50959821:821112000, Cliente 4]
ea0e1eac-93fd-4857-82cc-4d59a8052846, [14:09:19:821:50959821:821112000, Cliente 4]
e212d572-af23-44cf-9823-074bd30a74db, [14:09:19:821:50959821:821112000, Cliente 4]
40f7383e-7213-4529-95a4-66b746be1deb, [14:09:19:821:50959821:821112000, Cliente 4]
f5194b7a-ef81-409c-8a43-5bf4144be73c, [14:09:19:821:50959821:821112000, Cliente 4]
c7b62d6a-3873-43c9-b3a9-63f174e58963, [14:09:19:821:50959821:821112000, Cliente 4]
d226b7d3-9a98-4ef7-8e52-c69dc5dcdf4b, [14:09:19:821:50959821:821112000, Cliente 4]
061d14f9-7ed4-493a-8510-a17137bf3bd3, [14:09:19:821:50959821:821112000, Cliente 4]
02041e76-22f2-41ce-9595-dd11f591fa9e, [14:09:19:821:50959821:821112000, Cliente 4]
c2241133-593e-40fc-ba16-cd92230b873e, [14:09:19:821:50959821:821112000, Cliente 4]
480128c5-5a9b-48c0-915d-5c044e66046a, [14:09:19:821:50959821:821112000, Cliente 4]
14caedaf-73a6-4204-a2fd-98654faba396, [14:09:19:821:50959821:821112000, Cliente 4]
a102007a-e309-4213-8240-abdf3d5aa413, [14:09:19:821:50959821:821112000, Cliente 4]
7a9f7699-d52c-4f97-8a47-7fbf319d7afb, [14:09:19:821:50959821:821112000, Cliente 4]
585aebbc-b9c6-4b2c-a291-fa4e485aeec9, [14:09:19:821:50959821:821112000, Cliente 4]
255648be-35db-4b4e-801d-ce0e2b53cd4d, [14:09:19:821:50959821:821112000, Cliente 4]
b9efe8e6-4f7d-4df2-9e9d-21b85ce89685, [14:09:19:821:50959821:821112000, Cliente 4]
a00e36b0-180a-4c95-9a95-6d6644ba1e2b, [14:09:19:821:50959821:821112000, Cliente 4]
744306fa-21b5-413b-8ae5-371933cf394a, [14:09:19:821:50959821:821112000, Cliente 4]
14f267a3-0579-4be9-afdc-28c50f9c09d7, [14:09:19:821:50959821:821112000, Cliente 4]
2762f878-9212-491d-ba05-0a162b785c6e, [14:09:19:821:50959821:821112000, Cliente 4]
c90a22ad-5d19-4d00-9795-7388aa7a643a, [14:09:19:821:50959821:821112000, Cliente 4]
5e921f0e-de70-4caa-a8e6-ad367328d141, [14:09:19:821:50959821:821112000, Cliente 4]
6cc8899f-28be-425a-a4d6-27f56d31b3b0, [14:09:19:821:50959821:821112000, Cliente 4]
0ae41d33-6b84-4d66-bda8-c90d8a67f41f, [14:09:19:821:50959821:821112000, Cliente 4]
0d009f16-d8eb-4e48-b5c6-25f8458b618c, [14:09:19:821:50959821:821112000, Cliente 4]
f80b52c1-9ec1-425f-9f35-420ce4e6ef5d, [14:09:19:821:50959821:821112000, Cliente 4]
2dc02a31-4181-44a3-b09c-4cebd38a1458, [14:09:19:821:50959821:821112000, Cliente 4]
f7a98611-99d9-46c5-bcaa-fd0e8d9e0a35, [14:09:20:828:50960828:828259000, Cliente 5]
2f86f5f7-420e-4784-9eb7-0d9b970b5e6b, [14:09:20:828:50960828:828259000, Cliente 5]
c681bd7a-f878-4539-87ac-b4f32b4c37ac, [14:09:20:828:50960828:828259000, Cliente 5]
31aad0b2-e6e6-445a-b1e2-7b7527358217, [14:09:20:828:50960828:828259000, Cliente 5]
e516fddb-c7b3-4c4f-82f8-5a8629eabace, [14:09:20:828:50960828:828259000, Cliente 5]
b0aa9400-cd22-4fd7-92fe-2ec230e41ead, [14:09:20:828:50960828:828259000, Cliente 5]
f35081f9-474f-445e-a819-b4df637d8252, [14:09:20:828:50960828:828259000, Cliente 5]
526493a8-1879-4787-99c7-b5a33f290acd, [14:09:20:828:50960828:828259000, Cliente 5]
11e23d4f-b912-4812-a5ea-8d5dcb575e1c, [14:09:20:828:50960828:828259000, Cliente 5]
2b6692e8-bc81-4b07-9aa0-c424ee820037, [14:09:20:828:50960828:828259000, Cliente 5]
3281ac49-aa23-4e57-a6cd-badf46043cd0, [14:09:20:828:50960828:828259000, Cliente 5]
5345f63f-979f-482e-842e-93219e58c9c8, [14:09:20:828:50960828:828259000, Cliente 5]
34d44b10-0094-4bd0-8ddf-1de30dda7249, [14:09:20:828:50960828:828259000, Cliente 5]
43eee745-1d53-4727-b097-dc7002e47271, [14:09:20:828:50960828:828259000, Cliente 5]
887deaee-d32a-4e8f-a1bf-bc3f092e2500, [14:09:20:828:50960828:828259000, Cliente 5]
d42c9fb6-7e9d-4215-8130-8650f8f3e8ea, [14:09:20:828:50960828:828259000, Cliente 5]
c9c23d4c-0fa1-488d-8c99-f49d61b82a50, [14:09:20:828:50960828:828259000, Cliente 5]
ebe2fedb-d3b4-4151-b0dc-bc6822bfab6a, [14:09:20:828:50960828:828259000, Cliente 5]
abf6a7b4-44b9-424b-b465-221d5ad6b321, [14:09:20:828:50960828:828259000, Cliente 5]
9c79de4c-608a-4ecf-89b4-2e24ff481663, [14:09:20:828:50960828:828259000, Cliente 5]
bd3c0e0e-6bff-419d-afc9-5cadfb1a3d15, [14:09:20:828:50960828:828259000, Cliente 5]
e0342c61-4860-4336-b722-6176aa69e9ec, [14:09:20:828:50960828:828259000, Cliente 5]
dd0b723a-34bd-4ba4-b207-674958cb8260, [14:09:20:828:50960828:828259000, Cliente 5]
c61d298b-6dea-4cc6-9261-9ada7ac7d9dd, [14:09:20:828:50960828:828259000, Cliente 5]
4c179be2-5562-41f5-9fce-d7f82715370f, [14:09:20:828:50960828:828259000, Cliente 5]
39e6c244-93d5-4e58-b733-1ca3ba8f6c03, [14:09:20:828:50960828:828259000, Cliente 5]
051452bb-2959-4fe4-b57c-7aca3767e2ca, [14:09:20:828:50960828:828259000, Cliente 5]
