0d957dff-1ac4-4c15-b31c-53e22a33554b, [20:29:21:067:73761067:067429000, Cliente 4]
bc37f03c-329f-43ec-93eb-5e4c3e4754c4, [20:29:21:067:73761067:067429000, Cliente 4]
28af6d09-1b56-4e76-9b3e-62a4906cdfaa, [20:29:21:067:73761067:067429000, Cliente 4]
3b5f55ff-d4dc-4c4d-b885-f8d7668a6548, [20:29:21:067:73761067:067429000, Cliente 4]
59124607-1f68-4cf3-af80-1d1a224c77fc, [20:29:21:067:73761067:067429000, Cliente 4]
1864a99a-18b6-48e5-9b0c-f6f8b2a47d9c, [20:29:21:067:73761067:067429000, Cliente 4]
fb8c0ed6-3a9f-417a-b7e1-715ec026d737, [20:29:21:067:73761067:067429000, Cliente 4]
fd310e86-07b8-42a7-881b-f79b0f655c49, [20:29:21:067:73761067:067429000, Cliente 4]
dca2cf35-2577-4f28-8ff6-45605dca3066, [20:29:21:067:73761067:067429000, Cliente 4]
08112c44-3744-4c67-b08c-1c2e9acc6e7e, [20:29:21:067:73761067:067429000, Cliente 4]
069e9504-7bd6-4d65-903f-1e75907fdb4e, [20:29:21:067:73761067:067429000, Cliente 4]
3d42347d-4eb7-440b-9a43-b28ddd3bbbb6, [20:29:21:067:73761067:067429000, Cliente 4]
2f132bf0-d992-40f8-b2aa-57cb2c54b3c7, [20:29:21:067:73761067:067429000, Cliente 4]
52f7169a-31f4-4adb-be77-c67e2d8911d4, [20:29:21:067:73761067:067429000, Cliente 4]
48b023bb-46f6-4d76-a698-135f4a060fa0, [20:29:21:067:73761067:067429000, Cliente 4]
6af957e5-0a0f-44ee-a772-791b968e1a8a, [20:29:21:067:73761067:067429000, Cliente 4]
7ecad2e3-43ad-455e-8c6c-892e08dc5582, [20:29:21:067:73761067:067429000, Cliente 4]
e2a3da47-992d-4a57-ab2f-d5009c5a8446, [20:29:21:067:73761067:067429000, Cliente 4]
ec66cc7e-f2ad-47a0-ab8e-caec37975f2a, [20:29:21:067:73761067:067429000, Cliente 4]
6a5bef50-5eb7-4b12-b8ed-ada6c5c7bf8e, [20:29:21:067:73761067:067429000, Cliente 4]
1567d114-eb65-4c42-8aef-ef59bfafa9b3, [20:29:21:067:73761067:067429000, Cliente 4]
ee865072-6611-4271-9eb6-d8aade856f75, [20:29:21:067:73761067:067429000, Cliente 4]
5ba55ab0-db0f-4317-af18-d44f001f2f8f, [20:29:21:067:73761067:067429000, Cliente 4]
bdc6d69c-092c-4e32-8da6-ec39091257ff, [20:29:21:067:73761067:067429000, Cliente 4]
d187d952-7140-477f-912a-530c3712e029, [20:29:21:067:73761067:067429000, Cliente 4]
6a071ce0-d0fc-443f-87d0-946041df84e9, [20:29:21:067:73761067:067429000, Cliente 4]
534251ab-d5b2-4546-8ad4-cdc0c4d23da1, [20:29:21:067:73761067:067429000, Cliente 4]
6db0653c-e2c2-4a5c-82df-8f780f1c2b7c, [20:29:21:067:73761067:067429000, Cliente 4]
75296bd1-93f6-4463-86c9-84e5c154c47b, [20:29:21:067:73761067:067429000, Cliente 4]
e7b5e232-ee4c-4d3b-9a59-5dc4e49c4910, [20:29:21:067:73761067:067429000, Cliente 4]
07bc2b46-6fe6-4abb-9dfa-81700d175333, [20:29:21:067:73761067:067429000, Cliente 4]
55fb7731-906a-413b-8f3f-dd57d0f263f3, [20:29:21:067:73761067:067429000, Cliente 4]
a00531fc-f5d8-4e62-b6b7-4a98621e1468, [20:29:21:067:73761067:067429000, Cliente 4]
