9b22311d-ffb7-445d-983e-c703dea14221, [13:09:28:570:47368570:570657000, Cliente 1]
be823a7c-25bc-4c2d-9163-52bf5d4e095c, [13:09:28:570:47368570:570657000, Cliente 1]
4ae4bcfe-01d2-40de-89f1-05c9e8f1fdfc, [13:09:28:570:47368570:570657000, Cliente 1]
de9b9179-3696-4893-95bd-08cc1efd8b3f, [13:09:28:570:47368570:570657000, Cliente 1]
267e3195-fe39-4776-9626-7e1f86a3f2c5, [13:09:28:570:47368570:570657000, Cliente 1]
57619d05-5caa-4438-a610-e23df1769a09, [13:09:28:570:47368570:570657000, Cliente 1]
231a51f3-6923-4a7e-a576-e5e719df7d47, [13:09:28:570:47368570:570657000, Cliente 1]
8ca12286-9bec-4f36-8fea-45e83abc8ea5, [13:09:28:570:47368570:570657000, Cliente 1]
9c6195af-f7cc-448e-a0d9-c77258658a81, [13:09:28:570:47368570:570657000, Cliente 1]
9938c5e7-1334-4eeb-9a83-520f5a573609, [13:09:28:570:47368570:570657000, Cliente 1]
1ff27681-a608-4d23-a0f4-8f74f1054f31, [13:09:28:570:47368570:570657000, Cliente 1]
19b8551c-1f1b-4049-995c-08c14fe56c74, [13:09:28:570:47368570:570657000, Cliente 1]
3fdb5ccb-e12a-464e-80ce-f31c16cf4275, [13:09:29:578:47369578:578527000, Cliente 2]
fd1311a5-f3b0-4932-baf7-17b8d5124810, [13:09:29:578:47369578:578527000, Cliente 2]
d14fbee1-5878-40ac-9adb-c9632f227b0c, [13:09:29:578:47369578:578527000, Cliente 2]
b0e9937a-9f3c-4300-8c45-6c991a8f4cdf, [13:09:29:578:47369578:578527000, Cliente 2]
4ed8cd59-90db-4db1-ac7e-904d87d87618, [13:09:29:578:47369578:578527000, Cliente 2]
eb3e48a7-e143-4795-b8df-c14dbcacad7c, [13:09:29:578:47369578:578527000, Cliente 2]
cc82496e-c7ea-412a-a102-102f51f091b7, [13:09:29:578:47369578:578527000, Cliente 2]
bdbfd843-b355-4d0b-8be2-499806be38a2, [13:09:29:578:47369578:578527000, Cliente 2]
9e6130b1-81c9-426a-9ebc-c04e25ef3ac1, [13:09:29:578:47369578:578527000, Cliente 2]
347b30b1-d0d1-472e-928c-6e3113a7fd83, [13:09:29:578:47369578:578527000, Cliente 2]
7b6c5758-2ca5-4487-b7b1-916dc5217061, [13:09:29:578:47369578:578527000, Cliente 2]
ae86c0f0-dc5c-4efe-9367-621f9557ad6b, [13:09:29:578:47369578:578527000, Cliente 2]
efd81584-e60c-4b4f-8cb3-fd19c33b2f79, [13:09:29:578:47369578:578527000, Cliente 2]
16ed7fe6-f2f6-4f79-968c-72f32bfcec70, [13:09:29:578:47369578:578527000, Cliente 2]
296447ff-3dcb-4f9f-a0a4-57c3cf2bdcce, [13:09:29:578:47369578:578527000, Cliente 2]
a29f4de9-7254-43c1-97a6-38c998cb0887, [13:09:29:578:47369578:578527000, Cliente 2]
cbefc1e4-b522-49c0-b4e0-1673dcd9f6db, [13:09:29:578:47369578:578527000, Cliente 2]
191a2083-f02d-49cf-a3ae-e75202d50e53, [13:09:29:578:47369578:578527000, Cliente 2]
1b31de09-c2f2-4f22-8be6-3e153386c865, [13:09:29:578:47369578:578527000, Cliente 2]
ebe680c1-fa3d-42f8-8611-bc274e49d3b6, [13:09:29:578:47369578:578527000, Cliente 2]
e3e3a32f-b223-4036-a95d-4c12b9657d5a, [13:09:29:578:47369578:578527000, Cliente 2]
1c9d501f-2c21-431d-8ad8-5f27afc39a4a, [13:09:29:578:47369578:578527000, Cliente 2]
8865a42a-9e99-4ecb-a6e8-255062f8e798, [13:09:29:578:47369578:578527000, Cliente 2]
3323ee06-5731-4ac1-8869-88b2cbb86e6c, [13:09:29:578:47369578:578527000, Cliente 2]
c3172ec1-7293-48ea-81f4-50296f01ec85, [13:09:29:578:47369578:578527000, Cliente 2]
b4e116e6-fb18-481e-9176-826c21129f0e, [13:09:29:578:47369578:578527000, Cliente 2]
91cffb4b-5ab4-4612-897f-21d384a60e46, [13:09:29:578:47369578:578527000, Cliente 2]
797406e0-58d6-4823-97de-df6d34e75267, [13:09:29:578:47369578:578527000, Cliente 2]
28fb83db-00d6-40f9-80bb-540ea5193103, [13:09:29:578:47369578:578527000, Cliente 2]
1d0fdf47-2cd1-45d0-8d24-3f1cf2dafb2f, [13:09:29:578:47369578:578527000, Cliente 2]
f52ce10d-ac12-4d02-b841-b443e0b031e8, [13:09:29:578:47369578:578527000, Cliente 2]
a266ce3d-fec1-474c-96e7-d9b3a5fa7cda, [13:09:29:578:47369578:578527000, Cliente 2]
c1b5b252-e87e-4dd8-b5d6-865e753f87e2, [13:09:29:578:47369578:578527000, Cliente 2]
880b8c3c-ff24-4b54-8181-f13eab52ba3a, [13:09:29:578:47369578:578527000, Cliente 2]
bbc64a14-b011-439f-b8f8-1ad8967f20d0, [13:09:29:578:47369578:578527000, Cliente 2]
46ac80f1-3ca5-4ac6-a264-deab470fa741, [13:09:29:578:47369578:578527000, Cliente 2]
a748e700-bc40-4328-ad4a-0586dbee0a30, [13:09:29:578:47369578:578527000, Cliente 2]
292b256c-6fd0-4635-adc5-f6c393d33c86, [13:09:29:578:47369578:578527000, Cliente 2]
9a6939b4-b3db-4b02-909e-153020ce3a4f, [13:09:29:578:47369578:578527000, Cliente 2]
753f7b55-0485-4c81-a0c3-b671cbe0113f, [13:09:29:578:47369578:578527000, Cliente 2]
b6776f36-d3e8-4c89-82d2-d0f0a5e3d306, [13:09:29:578:47369578:578527000, Cliente 2]
6a0efe99-186b-49d0-993a-8bf5c059b1ca, [13:09:29:578:47369578:578527000, Cliente 2]
6fe3f46e-4d77-4376-a611-4f6dc5a40866, [13:09:29:578:47369578:578527000, Cliente 2]
ffcafcdd-1b6a-43a1-baee-e862c8772922, [13:09:29:578:47369578:578527000, Cliente 2]
942063a7-dd8c-497f-b84d-6fa59c0e9134, [13:09:29:578:47369578:578527000, Cliente 2]
11071526-ffe8-4cfb-aae8-f64e78fa795f, [13:09:29:578:47369578:578527000, Cliente 2]
