5c65e93a-4546-4e1a-a4b9-4e2cc92083bc, [19:58:01:588:71881588:588238000, Cliente 2]
13c25f07-9954-475f-ba37-01e47fc9d1e0, [19:58:01:588:71881588:588238000, Cliente 2]
a53e359a-0273-4fed-9100-0eec050893a6, [19:58:01:588:71881588:588238000, Cliente 2]
9fad74a4-0c0d-46f7-a65a-4fd531302b9f, [19:58:01:588:71881588:588238000, Cliente 2]
85f64270-20e1-4b6d-98b3-8797cc50cafe, [19:58:01:588:71881588:588238000, Cliente 2]
e971e470-95d5-43df-b68f-cb37eda48a85, [19:58:01:588:71881588:588238000, Cliente 2]
b25c81da-027a-4303-95f7-59f383c46d9f, [19:58:01:588:71881588:588238000, Cliente 2]
c80e5baf-43f4-49e3-afd6-3787516c3e0e, [19:58:01:588:71881588:588238000, Cliente 2]
978ea0f1-eb0f-4f40-a9f6-b19388960c71, [19:58:01:588:71881588:588238000, Cliente 2]
d8440a75-65cb-4edd-87da-fe3eccad2b5a, [19:58:01:588:71881588:588238000, Cliente 2]
f634a08a-6071-4d81-916d-f198f50724ed, [19:58:01:588:71881588:588238000, Cliente 2]
ba747ece-ed51-45e7-bf7b-c25b822f4449, [19:58:01:588:71881588:588238000, Cliente 2]
90ec4b1b-f0e1-480b-b035-b337dcef8d63, [19:58:01:588:71881588:588238000, Cliente 2]
f42bab9a-1585-4e81-9cba-daf749ea29c5, [19:58:01:588:71881588:588238000, Cliente 2]
eeb62c5e-c109-4914-b565-32f1c5eb36c0, [19:58:01:588:71881588:588238000, Cliente 2]
7772d5ef-a425-41e9-8ce3-1966c9b19bc5, [19:58:01:588:71881588:588238000, Cliente 2]
5f244620-1a8a-42e5-8f79-068529ce5885, [19:58:01:588:71881588:588238000, Cliente 2]
9bccee8d-925c-46fe-82b9-fd1276ae6067, [19:58:01:588:71881588:588238000, Cliente 2]
54f94127-ae4e-4063-845d-1e6913bdcd12, [19:58:01:588:71881588:588238000, Cliente 2]
88bd7aef-0f42-4562-9b9c-cddafa8a4b18, [19:58:01:588:71881588:588238000, Cliente 2]
872bafe8-1bb3-44fb-be6b-a37d54ebca80, [19:58:01:588:71881588:588238000, Cliente 2]
d6a73d8e-769c-43d2-9759-81bfa2350261, [19:58:01:588:71881588:588238000, Cliente 2]
be96de2c-33db-4c69-b8e7-bad861fdb37b, [19:58:01:588:71881588:588238000, Cliente 2]
97da8853-16e9-463a-a44c-17885333e098, [19:58:01:588:71881588:588238000, Cliente 2]
cf1b4acb-37d7-4dfd-b186-b8a8ea95fbf1, [19:58:01:588:71881588:588238000, Cliente 2]
69ba5f56-9d47-4165-93ca-29c6eaca6d9e, [19:58:01:588:71881588:588238000, Cliente 2]
aace2d15-f019-426a-8430-38efc7480ac1, [19:58:01:588:71881588:588238000, Cliente 2]
d5ce3c03-835f-411b-b892-9d816c02dd36, [19:58:01:588:71881588:588238000, Cliente 2]
0962ea46-5678-4703-a6b1-046e47c3fc6f, [19:58:01:588:71881588:588238000, Cliente 2]
2eab0678-c425-4a22-86d3-25e30d2a7a04, [19:58:01:588:71881588:588238000, Cliente 2]
d6f69d58-50bf-4fbe-8fd4-0258803c21e2, [19:58:01:588:71881588:588238000, Cliente 2]
af31322a-5292-4136-947a-8f7da641acc3, [19:58:01:588:71881588:588238000, Cliente 2]
fdc18a59-6891-4c50-88fd-c53e8a9bb087, [19:58:01:588:71881588:588238000, Cliente 2]
6ab2b1e2-e76d-4fff-b161-7f6b42f002eb, [19:58:01:588:71881588:588238000, Cliente 2]
8481f992-0ed3-423a-bbba-b6a8c42ccd87, [19:58:01:588:71881588:588238000, Cliente 2]
ae22567b-8b84-4ea4-9697-eb43ebf086c3, [19:58:01:588:71881588:588238000, Cliente 2]
5784b501-9e2e-4212-99e1-b7d4dae56949, [19:58:01:588:71881588:588238000, Cliente 2]
daece832-35f4-45db-8d0e-2cd487244bb4, [19:58:01:588:71881588:588238000, Cliente 2]
52fff918-36d9-4bb3-b438-8386034ecb06, [19:58:01:588:71881588:588238000, Cliente 2]
14aab6b6-f743-4038-ad13-01d5c493a21a, [19:58:01:588:71881588:588238000, Cliente 2]
0366e6dd-248a-4783-9550-fc9a92330ed2, [19:58:01:588:71881588:588238000, Cliente 2]
7fbaf06f-e09d-4d92-93bf-1626e73a0ae3, [19:58:01:588:71881588:588238000, Cliente 2]
241acfef-7fe7-4ff3-83aa-a07435ef3896, [19:58:01:588:71881588:588238000, Cliente 2]
1cc9ef86-3e78-4954-bdbd-c8a2e221a1bd, [19:58:01:588:71881588:588238000, Cliente 2]
a03f3f9f-fd0b-4ddd-862f-d581d66a5c36, [19:58:01:588:71881588:588238000, Cliente 2]
9283e35c-aa5d-4bc4-8dfb-417cfacf4ca1, [19:58:01:588:71881588:588238000, Cliente 2]
cab42e04-3a52-4570-a88d-4f859be67d11, [19:58:01:588:71881588:588238000, Cliente 2]
43f6a867-0a02-4fc8-ac21-b08da20ae657, [19:58:01:588:71881588:588238000, Cliente 2]
9461350a-2983-462c-8ab2-58e5e81f411f, [19:58:02:576:71882576:576307000, Cliente 3]
95c87d6c-3f62-4f09-ab9a-513ab7ea4cab, [19:58:02:576:71882576:576307000, Cliente 3]
b65ca377-2fe1-4863-84bf-39067d885d47, [19:58:02:576:71882576:576307000, Cliente 3]
f0c2aa95-e059-4f07-b4b1-069d30163e22, [19:58:02:576:71882576:576307000, Cliente 3]
35b12124-417d-42d1-8d88-829f76506346, [19:58:02:576:71882576:576307000, Cliente 3]
785ad208-d712-4c5e-a79e-e1cd555350a8, [19:58:02:576:71882576:576307000, Cliente 3]
e63c5118-3ce2-454a-af46-f01790f4f0d9, [19:58:02:576:71882576:576307000, Cliente 3]
db2674d2-83ea-4946-8f13-dc93c06f2f0e, [19:58:02:576:71882576:576307000, Cliente 3]
f95ab405-4f89-453c-8895-68671aff4d55, [19:58:02:576:71882576:576307000, Cliente 3]
5802c9c0-b4ef-4040-8a64-eb5f7b5e86a9, [19:58:02:576:71882576:576307000, Cliente 3]
57359e29-0ce1-4089-b61c-19b5df62af06, [19:58:02:576:71882576:576307000, Cliente 3]
46be5766-ecdc-4f54-9e3c-6bcbc4b9cbed, [19:58:02:576:71882576:576307000, Cliente 3]
eac19fdc-5965-499e-a08a-e099683eb215, [19:58:02:576:71882576:576307000, Cliente 3]
23ca11e3-32ef-4141-bfab-2b8d718fc7c4, [19:58:02:576:71882576:576307000, Cliente 3]
2452e4ed-57d3-4adf-b9e6-c2566a98f617, [19:58:02:576:71882576:576307000, Cliente 3]
83f8c887-6276-4ed5-bc7d-2789e98e8586, [19:58:02:576:71882576:576307000, Cliente 3]
94e603cf-0755-4fe6-898f-09eef39c20c6, [19:58:02:576:71882576:576307000, Cliente 3]
e630119d-7cba-42c8-8041-784bc8ee26c3, [19:58:02:576:71882576:576307000, Cliente 3]
cf06e2ce-c0d4-4119-bb3a-0ab027670e64, [19:58:02:576:71882576:576307000, Cliente 3]
5c3fb876-069f-463a-b604-ddf8ba5b6379, [19:58:02:576:71882576:576307000, Cliente 3]
612947e4-6af7-4472-99cd-8ed340a6bae6, [19:58:02:576:71882576:576307000, Cliente 3]
b4c11b0f-58e7-4c69-a1f0-de3f90c8ee09, [19:58:02:576:71882576:576307000, Cliente 3]
812157bb-9071-41f5-9dfc-3bcec7917e18, [19:58:02:576:71882576:576307000, Cliente 3]
95a36e53-218a-43a0-91b7-d8a63573764a, [19:58:02:576:71882576:576307000, Cliente 3]
abed73d4-6ecd-44f6-aca9-2ea727af44d2, [19:58:02:576:71882576:576307000, Cliente 3]
e40a8489-c274-4e82-9c59-9bdc5a03ca10, [19:58:02:576:71882576:576307000, Cliente 3]
28e2b7b3-9151-4172-acd2-f8690442a3ea, [19:58:02:576:71882576:576307000, Cliente 3]
d84de86a-5845-4a70-811c-292351b9abcf, [19:58:02:576:71882576:576307000, Cliente 3]
74f77d25-ac91-4734-96bc-d3cb2901e3f7, [19:58:02:576:71882576:576307000, Cliente 3]
6452f68d-a321-4e73-812c-d301e1507f65, [19:58:02:576:71882576:576307000, Cliente 3]
acb45c16-3b66-4e51-90de-eb361707f794, [19:58:02:576:71882576:576307000, Cliente 3]
63a13f23-9145-43d5-a5cf-8d351905c844, [19:58:02:576:71882576:576307000, Cliente 3]
03577b48-7898-4393-847a-79bc2c9f568b, [19:58:02:576:71882576:576307000, Cliente 3]
da26689c-4dce-4530-87fb-1a5de5ddaac2, [19:58:02:576:71882576:576307000, Cliente 3]
6415403e-51c2-48ac-bee7-43bb1641979a, [19:58:02:576:71882576:576307000, Cliente 3]
06e419c2-7673-4f75-b4a1-6314c101f4d0, [19:58:02:576:71882576:576307000, Cliente 3]
627d3bc1-aa05-4274-b593-c182e860aafd, [19:58:02:576:71882576:576307000, Cliente 3]
d87196a3-b010-4cc0-b316-9a9441aee1a4, [19:58:02:576:71882576:576307000, Cliente 3]
9b4dd3c3-b1f5-43bb-b945-e0938c23254b, [19:58:02:576:71882576:576307000, Cliente 3]
6da29ffc-e6e2-4518-bb29-9bf91111ddee, [19:58:02:576:71882576:576307000, Cliente 3]
3ce4f35e-36a8-404a-ba50-4e9fbdca50fc, [19:58:02:576:71882576:576307000, Cliente 3]
69283427-8b0e-44d7-a558-0bc10756571e, [19:58:02:576:71882576:576307000, Cliente 3]
51dca56e-2eb8-4983-8a44-833eac6b8ff2, [19:58:02:576:71882576:576307000, Cliente 3]
4253d6fa-264a-48c3-a46c-5671ca21f04e, [19:58:02:576:71882576:576307000, Cliente 3]
55ff8bc1-e7fa-4d67-b485-7b9335eecbcb, [19:58:02:576:71882576:576307000, Cliente 3]
34c43e3e-8bc1-401d-9270-6b6725dd3e52, [19:58:02:576:71882576:576307000, Cliente 3]
29524eff-8707-43e5-851c-e0b7454bd37b, [19:58:02:576:71882576:576307000, Cliente 3]
f6f3ba79-6b5b-4910-847b-69b6b17f6989, [19:58:02:576:71882576:576307000, Cliente 3]
527f7219-ee5b-4197-bed2-ef1e9b221454, [19:58:02:576:71882576:576307000, Cliente 3]
b778c58f-75b8-4ebe-bed5-05fabc900d72, [19:58:02:576:71882576:576307000, Cliente 3]
7760fbd0-a85e-4212-b701-833f9479b97f, [19:58:03:594:71883594:594323000, Cliente 4]
f0b2328e-4091-4e0b-91d8-bbd55be71fe3, [19:58:03:594:71883594:594323000, Cliente 4]
2e4d20a0-3902-4df4-b8da-ec2bcddc3101, [19:58:03:594:71883594:594323000, Cliente 4]
d5a09e93-a2e3-4cad-9c1e-fa41ed96f5f4, [19:58:03:594:71883594:594323000, Cliente 4]
2ffe764c-3999-4b12-9bfd-e1ed47901f97, [19:58:03:594:71883594:594323000, Cliente 4]
23a4b607-37cf-4e6c-8dc4-0a3a5445d0b9, [19:58:03:594:71883594:594323000, Cliente 4]
7a647274-3004-4778-9502-ed2e0e7d87e7, [19:58:03:594:71883594:594323000, Cliente 4]
93a4c42e-2a8d-4586-bad6-4b098cfa483f, [19:58:03:594:71883594:594323000, Cliente 4]
ed7ed2ef-c5ad-4ded-aeb2-3e35cca03bdb, [19:58:03:594:71883594:594323000, Cliente 4]
e226d1b1-5afc-4a09-bf2c-1a8e913e1ec9, [19:58:03:594:71883594:594323000, Cliente 4]
ef7ba4db-69e2-41d1-9f2e-928e867dbcb1, [19:58:03:594:71883594:594323000, Cliente 4]
78ee6968-9919-47cb-a5c7-5517879b38e2, [19:58:03:594:71883594:594323000, Cliente 4]
a2a9f285-7339-4632-98a5-d09407a4bcd7, [19:58:03:594:71883594:594323000, Cliente 4]
e74fb548-a7da-47b5-89a4-e41da5aba5ef, [19:58:03:594:71883594:594323000, Cliente 4]
0a2fede8-e669-411f-bab3-1555763a6245, [19:58:03:594:71883594:594323000, Cliente 4]
acce85c4-abfb-469e-b9f2-0e1835d5a562, [19:58:03:594:71883594:594323000, Cliente 4]
d548a5bf-8521-4c1a-aa1e-fef82b652713, [19:58:03:594:71883594:594323000, Cliente 4]
50a47432-ccbc-4166-8ba9-6e111cca9b27, [19:58:03:594:71883594:594323000, Cliente 4]
bed4b4de-821a-4ed0-b7d0-853b10a40494, [19:58:03:594:71883594:594323000, Cliente 4]
01bddc26-3391-4af4-a88f-d361b56d2f96, [19:58:03:594:71883594:594323000, Cliente 4]
0bea78d9-107e-4893-9aea-2737e842b407, [19:58:03:594:71883594:594323000, Cliente 4]
2fa9a179-01a4-470b-b5e7-e1e86eed734c, [19:58:03:594:71883594:594323000, Cliente 4]
a2deecfc-90b6-4d64-a21b-f4c4910b73d0, [19:58:03:594:71883594:594323000, Cliente 4]
caf38851-09bb-4c28-ad58-f5d68caccb6d, [19:58:03:594:71883594:594323000, Cliente 4]
c0ade44f-7d4d-477c-a7a0-ce7adf099286, [19:58:03:594:71883594:594323000, Cliente 4]
465f638c-b257-4479-a788-fd8e2b265a41, [19:58:03:594:71883594:594323000, Cliente 4]
2d55b9be-3520-48ac-a50e-1a820dc0841e, [19:58:03:594:71883594:594323000, Cliente 4]
d5bc4f2b-5b24-44b8-83a2-29804c322e43, [19:58:03:594:71883594:594323000, Cliente 4]
2eba1a6e-482b-43a6-b2f0-bfc0752f83f9, [19:58:03:594:71883594:594323000, Cliente 4]
5c987dfa-dd0e-4dd4-bf6e-aa82fbee6f8c, [19:58:03:594:71883594:594323000, Cliente 4]
bad87843-7271-4829-a60e-c60d8b623587, [19:58:03:594:71883594:594323000, Cliente 4]
c8270c49-9cbe-420a-9651-82486a1cc02e, [19:58:03:594:71883594:594323000, Cliente 4]
da87c3c7-d9a9-409d-bebc-c43912b2ee74, [19:58:03:594:71883594:594323000, Cliente 4]
f95303db-28de-4f2c-9f6a-dde04f46c2c9, [19:58:03:594:71883594:594323000, Cliente 4]
4bc7320d-f590-486c-b07a-84a9894ee442, [19:58:03:594:71883594:594323000, Cliente 4]
a87c08f0-c9b1-414a-84a4-d1d98546f995, [19:58:03:594:71883594:594323000, Cliente 4]
a8809fca-6476-46a8-8012-36a69784e8d1, [19:58:03:594:71883594:594323000, Cliente 4]
