c893ec38-4264-4075-ba0d-47aa7af0d8d7, [20:07:01:027:72421027:027445000, Cliente 1]
269f8faa-3143-4342-bfd0-81e3e20cd40e, [20:07:01:027:72421027:027445000, Cliente 1]
5433ea9f-6878-4b1f-bcee-9591913cc5b5, [20:07:01:027:72421027:027445000, Cliente 1]
5fbed0d6-bbb8-4b7a-8c60-8ccfa3a123d4, [20:07:01:027:72421027:027445000, Cliente 1]
16e183b0-cc59-4e3d-b8ca-4ecdfa421f50, [20:07:01:027:72421027:027445000, Cliente 1]
753037f7-69f9-4da9-a228-f51be7dc57d8, [20:07:01:027:72421027:027445000, Cliente 1]
974f5892-d059-4db4-aa07-bb7b0db3dfab, [20:07:01:027:72421027:027445000, Cliente 1]
c6182397-b3e7-49c5-84f7-469ac804ff88, [20:07:02:015:72422015:015357000, Cliente 2]
e764ce0c-31ac-4711-a432-196961f4f24d, [20:07:02:015:72422015:015357000, Cliente 2]
0c85d087-f803-4be9-ab61-5b6fe991c51c, [20:07:02:015:72422015:015357000, Cliente 2]
7b19e316-41cd-4fe2-81c9-3f8ca13b105b, [20:07:02:015:72422015:015357000, Cliente 2]
594ea1bb-5206-4eb0-8a22-4dbf95190507, [20:07:02:015:72422015:015357000, Cliente 2]
528163db-54fb-425a-ad0a-260b784114af, [20:07:02:015:72422015:015357000, Cliente 2]
9bc1e908-bf97-46de-8340-37f42149ba2d, [20:07:02:015:72422015:015357000, Cliente 2]
99683d3f-e152-4ada-abed-41e6dbc97683, [20:07:02:015:72422015:015357000, Cliente 2]
bc8c5d36-6746-4795-9787-924598caadf9, [20:07:02:015:72422015:015357000, Cliente 2]
fef65a7b-c60c-4cd8-bcd9-2c8fb8739e0b, [20:07:02:015:72422015:015357000, Cliente 2]
cb9d3d26-cbb2-4d66-a917-dfa4900b16bf, [20:07:02:015:72422015:015357000, Cliente 2]
74c99f09-16cd-45f6-8f71-052eaf028219, [20:07:02:015:72422015:015357000, Cliente 2]
ba2f07ed-14d7-4700-8d94-3d7a66ef7390, [20:07:02:015:72422015:015357000, Cliente 2]
7e7d831e-6bf4-4ee8-96d4-18219da5f9a4, [20:07:02:015:72422015:015357000, Cliente 2]
9506ac96-3e94-474a-9739-0cf8e1f5359f, [20:07:02:015:72422015:015357000, Cliente 2]
e4e2a736-5f13-4d6f-b998-88e9e741e057, [20:07:02:015:72422015:015357000, Cliente 2]
26466604-5bd4-4ae2-bad8-b8d472a5985a, [20:07:02:015:72422015:015357000, Cliente 2]
