eba4cff5-6a81-4d31-bd8f-372345246cc1, [12:53:19:093:46399093:093510000, Cliente 2]
650cec26-8cc2-4319-b4bd-e0fb4e49e893, [12:53:19:093:46399093:093510000, Cliente 2]
c13869a2-b046-4ac4-adc6-a3d2b31fb508, [12:53:19:093:46399093:093510000, Cliente 2]
a5ca8ba7-232e-4c83-bc5e-0f4e340f22dc, [12:53:19:093:46399093:093510000, Cliente 2]
37787a69-edf3-4d08-ba70-e272769ca703, [12:53:19:093:46399093:093510000, Cliente 2]
5f60ad8a-054b-4a83-a9e9-a9ea47294753, [12:53:20:103:46400103:103472000, Cliente 3]
87f35d7b-682f-48da-bcf5-15a305e40ede, [12:53:20:103:46400103:103472000, Cliente 3]
059c979e-839a-4fc3-9953-e74b8ad43db4, [12:53:20:103:46400103:103472000, Cliente 3]
ef425923-c7ba-459f-bc64-88fab1b494d1, [12:53:20:103:46400103:103472000, Cliente 3]
df71b159-13c4-483d-9f24-1b8e0a17fb41, [12:53:20:103:46400103:103472000, Cliente 3]
689ce122-85c0-4f6e-8755-6f8efcecb8fa, [12:53:20:103:46400103:103472000, Cliente 3]
ee7b86a3-e159-41a6-9bc6-4e5c96aab976, [12:53:20:103:46400103:103472000, Cliente 3]
c2595ebf-6d8f-418c-88e9-6ca8910cd183, [12:53:20:103:46400103:103472000, Cliente 3]
2bdf53c5-bac7-4b24-81b6-e059774249a6, [12:53:20:103:46400103:103472000, Cliente 3]
29b6340a-389b-43f8-85d1-2c6257ff53e0, [12:53:20:103:46400103:103472000, Cliente 3]
386978fc-d0e8-4347-a291-0b60d27808b5, [12:53:20:103:46400103:103472000, Cliente 3]
b34db978-53d7-4a1d-a22f-a0f1e515b2fe, [12:53:20:103:46400103:103472000, Cliente 3]
9bcbf3aa-683e-4031-8942-6e8fab598ec1, [12:53:20:103:46400103:103472000, Cliente 3]
2281d35e-182e-4d76-9ca3-d399e2131e2c, [12:53:20:103:46400103:103472000, Cliente 3]
d45cbaf0-c7f7-4c93-8b36-274480d1db1e, [12:53:20:103:46400103:103472000, Cliente 3]
899ea42c-4c43-48b3-a9a6-f99b14cb960b, [12:53:20:103:46400103:103472000, Cliente 3]
9f0e3e22-92e8-4fd4-b0d8-a281a272be52, [12:53:20:103:46400103:103472000, Cliente 3]
05f56f94-5976-40ec-aa71-33674fea406b, [12:53:20:103:46400103:103472000, Cliente 3]
8dcf8cf6-0310-4f51-9c7d-505ccb7bf803, [12:53:20:103:46400103:103472000, Cliente 3]
51a2b5b5-86f6-48c2-9ed8-388f9dc9c7d2, [12:53:20:103:46400103:103472000, Cliente 3]
44f9bfb9-2370-4080-aeb0-baca0935e87c, [12:53:20:103:46400103:103472000, Cliente 3]
6326da6b-ecb2-41c2-8473-716eb6f5f4e4, [12:53:20:103:46400103:103472000, Cliente 3]
69bd3af5-e579-4715-9ffd-136cca8b66e4, [12:53:20:103:46400103:103472000, Cliente 3]
e432f1dd-f9a0-4fe1-8ed6-1e0a07c46695, [12:53:20:103:46400103:103472000, Cliente 3]
cee8ea93-e115-420e-aa55-484792ec4c03, [12:53:20:103:46400103:103472000, Cliente 3]
be35bd7a-9ff7-409b-a0ea-7df57186aecf, [12:53:20:103:46400103:103472000, Cliente 3]
c3b21021-fdab-4812-8e69-ae06b35c5b6f, [12:53:20:103:46400103:103472000, Cliente 3]
301ba8aa-6bc2-4e4f-bcc4-2868d360cf55, [12:53:20:103:46400103:103472000, Cliente 3]
79ae2eff-9086-4fe2-b7d6-e43c528749c9, [12:53:20:103:46400103:103472000, Cliente 3]
1d63cbc6-3ebf-47fd-a101-8d37e5b8af03, [12:53:20:103:46400103:103472000, Cliente 3]
65de492e-d94e-434d-8b3f-49343d4902cc, [12:53:20:103:46400103:103472000, Cliente 3]
61bf33e4-2834-463e-ac49-54c3eee2afc0, [12:53:20:103:46400103:103472000, Cliente 3]
ea0a6c7f-eeab-4871-b475-c29848508491, [12:53:20:103:46400103:103472000, Cliente 3]
bb21c66c-186f-4547-8bfd-d32d69d16df8, [12:53:20:103:46400103:103472000, Cliente 3]
dc9ed98c-af54-42f7-8610-e038ea93009f, [12:53:20:103:46400103:103472000, Cliente 3]
1fed303a-fb05-46f8-ad29-a0424943afbc, [12:53:20:103:46400103:103472000, Cliente 3]
0c32e4cd-4a81-42e0-b648-5645fd067a14, [12:53:20:103:46400103:103472000, Cliente 3]
df629850-ed41-49ba-9dff-6f644c6f1d60, [12:53:20:103:46400103:103472000, Cliente 3]
84f18b9e-eb0d-415c-adaa-17d33458ab12, [12:53:20:103:46400103:103472000, Cliente 3]
3e2c7dae-3c6e-4748-9ea0-d1d860ce160d, [12:53:20:103:46400103:103472000, Cliente 3]
05cb0ef3-a859-4a46-a98d-d5aafe3a55ab, [12:53:20:103:46400103:103472000, Cliente 3]
06fef8d3-00b2-40b4-8fc8-6f7c3729e9e0, [12:53:20:103:46400103:103472000, Cliente 3]
bf732d10-feb3-450b-aae7-1cc922e9721b, [12:53:20:103:46400103:103472000, Cliente 3]
20042a0b-924d-400c-a129-438aba0f7d7a, [12:53:20:103:46400103:103472000, Cliente 3]
7eb435a9-979b-41cf-90de-c892973d2882, [12:53:20:103:46400103:103472000, Cliente 3]
88a0072e-ba68-457f-857e-23778ee409d3, [12:53:20:103:46400103:103472000, Cliente 3]
a7ae1317-057a-4de1-9ad2-df12491c9db5, [12:53:20:103:46400103:103472000, Cliente 3]
72971832-6b14-4757-8c2d-660bf0befb3b, [12:53:20:103:46400103:103472000, Cliente 3]
f42146fd-7ded-4dc0-ac76-f7736e7cd08f, [12:53:20:103:46400103:103472000, Cliente 3]
b83a45f9-fa6c-4025-a8ec-d89c6d1cf3ef, [12:53:20:103:46400103:103472000, Cliente 3]
