79396cbe-d225-4468-918d-258ddf79fe9e, [21:23:07:524:76987524:524997000, Cliente 4]
0b1f270a-ce9d-458d-8af6-61f3a45ee320, [21:23:07:524:76987524:524997000, Cliente 4]
38479b38-ac70-4170-a045-ea419c80d4ac, [21:23:07:524:76987524:524997000, Cliente 4]
00ffa700-d1ac-46b3-8eea-a51106433f9b, [21:23:07:524:76987524:524997000, Cliente 4]
b6ef0534-5608-48f8-8f58-f84db6be07a6, [21:23:07:524:76987524:524997000, Cliente 4]
af1fc0f8-c2e0-42e6-8351-43969a1d0c29, [21:23:07:524:76987524:524997000, Cliente 4]
5c2e5067-96e4-49ce-8a2c-215b3f6c586a, [21:23:07:524:76987524:524997000, Cliente 4]
52084e84-21d2-4310-8d53-258e2563e5a9, [21:23:07:524:76987524:524997000, Cliente 4]
bf9131a8-0d1f-458c-bc86-0864ab7dd92d, [21:23:07:524:76987524:524997000, Cliente 4]
f5bdca3e-6780-482f-91b7-8f86dd74c0af, [21:23:07:524:76987524:524997000, Cliente 4]
cf7e3ec2-4112-4b9c-ab97-2726a15c6ec3, [21:23:07:524:76987524:524997000, Cliente 4]
ff57f7c7-12af-4fe0-81d6-cc41e422455d, [21:23:07:524:76987524:524997000, Cliente 4]
3fe76cfe-05eb-4efa-8387-50a83a1131e0, [21:23:07:524:76987524:524997000, Cliente 4]
032d4783-5f12-43e4-9e06-5f72fbdf9f4f, [21:23:07:524:76987524:524997000, Cliente 4]
f314959c-eb2d-4241-b3af-524147ce9fd7, [21:23:07:524:76987524:524997000, Cliente 4]
bc88abdb-2c2d-4cbf-9565-ab00ca0eb9f7, [21:23:07:524:76987524:524997000, Cliente 4]
58484a1c-b0d8-48fb-ba05-b338f497d196, [21:23:07:524:76987524:524997000, Cliente 4]
b82fded4-8067-4d99-94e6-cc6ad0ae3b67, [21:23:07:524:76987524:524997000, Cliente 4]
83c7cabf-18f0-4ffa-918d-982054dbdd78, [21:23:07:524:76987524:524997000, Cliente 4]
5ce80a1c-d993-40f2-a6e5-b25964b35db7, [21:23:07:524:76987524:524997000, Cliente 4]
20cda31c-efaf-4a67-8dfb-48dc751250a0, [21:23:07:524:76987524:524997000, Cliente 4]
5eeaf1e0-7a1b-4a3f-a387-9cb49d3c9708, [21:23:07:524:76987524:524997000, Cliente 4]
5fa2b3ce-8c78-4189-bdda-f3df27c0b17c, [21:23:07:524:76987524:524997000, Cliente 4]
cffe177c-494e-4c06-b5c5-b7e1a00142d4, [21:23:07:524:76987524:524997000, Cliente 4]
d2e4155f-f38f-43e7-93dc-85f742411565, [21:23:07:524:76987524:524997000, Cliente 4]
1c0e8bf7-22f6-4dea-8d53-a95b91147dbe, [21:23:07:524:76987524:524997000, Cliente 4]
74c116d9-79ab-4449-98fa-492da74cf5b9, [21:23:07:524:76987524:524997000, Cliente 4]
74787834-2870-4d9c-9d62-9176148f83ac, [21:23:07:524:76987524:524997000, Cliente 4]
6cbdb059-ed29-4b61-a05a-5bc9773ce2d5, [21:23:07:524:76987524:524997000, Cliente 4]
632d1731-4e9a-4e3d-a51a-b716406d4af1, [21:23:07:524:76987524:524997000, Cliente 4]
cda77434-3232-4e6f-9080-63b9a0ab5e62, [21:23:07:524:76987524:524997000, Cliente 4]
40174f19-84b2-48b7-bf23-d6cfe77e2973, [21:23:07:524:76987524:524997000, Cliente 4]
f304de44-f5b7-4ec3-bcf3-a0ada54c3b3e, [21:23:07:524:76987524:524997000, Cliente 4]
ab23630e-52d7-4d84-a70c-0087c43ea93c, [21:23:07:524:76987524:524997000, Cliente 4]
14c5defb-a2c1-4a2d-b47a-041f6b8056a0, [21:23:07:524:76987524:524997000, Cliente 4]
636280d4-3d92-4f16-8c93-79f16e35b5b9, [21:23:07:524:76987524:524997000, Cliente 4]
21d2ab6d-b728-4812-86c5-bf095045fba3, [21:23:07:524:76987524:524997000, Cliente 4]
0228e562-4049-4e28-bddd-3fcf2b5eef9a, [21:23:07:524:76987524:524997000, Cliente 4]
26e40339-ee0e-4027-b8b3-d2201998a209, [21:23:07:524:76987524:524997000, Cliente 4]
72d476e7-3a31-4915-a63d-92a810b18e35, [21:23:07:524:76987524:524997000, Cliente 4]
40d088cc-0153-4680-b97d-78031be6fb81, [21:23:07:524:76987524:524997000, Cliente 4]
1018f826-b5aa-4393-aaa6-39f45a81a818, [21:23:07:524:76987524:524997000, Cliente 4]
1c5a1c48-7066-4dcd-8199-aa86a0ef298b, [21:23:07:524:76987524:524997000, Cliente 4]
