d98e2179-33b1-4bd9-9e7c-b2db5c17d8df, [19:31:34:979:70294979:979672000, Cliente 2]
79285bce-f083-4d4a-86f5-24218e4f0643, [19:31:34:979:70294979:979672000, Cliente 2]
61d70cf9-8877-4899-882a-d2ebc67aefc7, [19:31:34:979:70294979:979672000, Cliente 2]
27761b24-a84c-45e9-a0f8-7a5e47d93b16, [19:31:34:979:70294979:979672000, Cliente 2]
7d0f5162-9d34-40f8-a594-28b842ef41b1, [19:31:34:979:70294979:979672000, Cliente 2]
008ef425-785f-4280-b7ed-bb6bfdd2cdcf, [19:31:34:979:70294979:979672000, Cliente 2]
714af6de-bc7c-46d7-8ecc-71cdd077361e, [19:31:34:979:70294979:979672000, Cliente 2]
f9f73527-879c-4531-8dd2-16b3c14af188, [19:31:34:979:70294979:979672000, Cliente 2]
f7265eb6-60d0-4bf6-b766-32aa45e839e3, [19:31:34:979:70294979:979672000, Cliente 2]
c75d7a0b-3590-4f71-8e4c-2e7afa5a6918, [19:31:34:979:70294979:979672000, Cliente 2]
7de5a791-a217-43d2-bb86-dc46382dd784, [19:31:35:996:70295996:996067000, Cliente 3]
3924c37f-394d-45b9-b5c5-59b86ad44e59, [19:31:35:996:70295996:996067000, Cliente 3]
93373cba-3467-46e9-afb1-11dfceba6f2d, [19:31:35:996:70295996:996067000, Cliente 3]
33960783-4b91-47b6-b733-5a26060f8fca, [19:31:35:996:70295996:996067000, Cliente 3]
8d2a2421-d8d1-4f13-b7bb-1015315ab319, [19:31:35:996:70295996:996067000, Cliente 3]
7c20227a-dc34-40f7-9d94-f602c05274b6, [19:31:35:996:70295996:996067000, Cliente 3]
e3a4e485-d7af-4446-b7d2-a422d11b1962, [19:31:35:996:70295996:996067000, Cliente 3]
72464f75-8022-4dd3-876d-688fc6ceee62, [19:31:35:996:70295996:996067000, Cliente 3]
d9b29cf1-c17a-4b65-84ed-03b5cda506fa, [19:31:35:996:70295996:996067000, Cliente 3]
09fe6802-43bb-4164-ae7f-33b4a0d1d820, [19:31:35:996:70295996:996067000, Cliente 3]
30f36a0a-4a61-4eb1-b378-23d5931f2e39, [19:31:35:996:70295996:996067000, Cliente 3]
6f6f4654-d7b9-44b4-8778-8dc8c44d364c, [19:31:35:996:70295996:996067000, Cliente 3]
72a91cea-1549-44c6-926d-c38598db9f0b, [19:31:35:996:70295996:996067000, Cliente 3]
123e5bfd-e56d-425b-8a72-498025500234, [19:31:35:996:70295996:996067000, Cliente 3]
e450ae73-b4bf-450f-a088-6621e0792d57, [19:31:35:996:70295996:996067000, Cliente 3]
12cd645c-9658-4c87-a559-94b1ccfab341, [19:31:35:996:70295996:996067000, Cliente 3]
55f54772-8f0a-40b4-aba9-7811b321c353, [19:31:35:996:70295996:996067000, Cliente 3]
bb43681e-3611-43a4-af0a-0ac187e8503b, [19:31:35:996:70295996:996067000, Cliente 3]
71720ecf-a904-4ffc-a7df-c498c1fea6dd, [19:31:35:996:70295996:996067000, Cliente 3]
1ca12fe7-315b-4c3e-b8d8-7fe7b55f6592, [19:31:35:996:70295996:996067000, Cliente 3]
2de81490-c656-417a-bd77-1ff1215c1ab8, [19:31:35:996:70295996:996067000, Cliente 3]
