15957d18-8c16-42c0-9b69-a0623a5a7aba, [20:17:17:978:73037978:978830000, Cliente 2]
7d495cb6-0a30-4899-a705-a4cb4521927f, [20:17:17:978:73037978:978830000, Cliente 2]
914b5f5c-3452-4bf9-98ca-89a553847c89, [20:17:17:978:73037978:978830000, Cliente 2]
5f787122-736a-47a0-b640-eb534f8955ea, [20:17:17:978:73037978:978830000, Cliente 2]
bbc7176e-1a16-4dfb-8e73-f7d9f75e03c4, [20:17:17:978:73037978:978830000, Cliente 2]
d2be0d6f-508e-4593-8046-8ce74c39b265, [20:17:17:978:73037978:978830000, Cliente 2]
d9660502-bee2-4b2d-bbf2-e581f6a1ecfc, [20:17:17:978:73037978:978830000, Cliente 2]
e42ddd33-62e8-4592-b6bf-3b6f7503f004, [20:17:17:978:73037978:978830000, Cliente 2]
44e597ad-e1e9-4a5a-ad4a-aea4858cc4f4, [20:17:17:978:73037978:978830000, Cliente 2]
d7d50967-8165-499d-90ae-fcbaba5e2a75, [20:17:17:978:73037978:978830000, Cliente 2]
6a5ac5c4-cbf1-414d-9a16-2abf24601138, [20:17:17:978:73037978:978830000, Cliente 2]
5984d35d-5806-4496-b205-94b4798c5e76, [20:17:17:978:73037978:978830000, Cliente 2]
691b55ce-84a0-4263-89a9-80dbeed838f4, [20:17:17:978:73037978:978830000, Cliente 2]
575e9a5b-cae4-429e-902b-e5635c77e638, [20:17:17:978:73037978:978830000, Cliente 2]
80279647-b743-4a8a-a54d-0ecad5b28495, [20:17:18:961:73038961:961728000, Cliente 3]
7ab4aab9-6d64-4a92-ad6f-66aae0cfd1ca, [20:17:18:961:73038961:961728000, Cliente 3]
a6701df5-64f1-4474-9585-613602afa93f, [20:17:18:961:73038961:961728000, Cliente 3]
7a985812-570a-47b9-bbf5-76e6aa123ebc, [20:17:18:961:73038961:961728000, Cliente 3]
b2cec3e3-bc72-435f-b394-abd2f006e663, [20:17:18:961:73038961:961728000, Cliente 3]
c1eb379b-f1c3-47b9-b801-468651f49e4e, [20:17:18:961:73038961:961728000, Cliente 3]
f1632dde-3e2b-48ef-bb21-742edc28fd4d, [20:17:18:961:73038961:961728000, Cliente 3]
50c7925f-dbe9-4091-844b-a13b13a6283d, [20:17:18:961:73038961:961728000, Cliente 3]
0c05ddbe-db43-447f-b18b-915d3a3c4f1f, [20:17:18:961:73038961:961728000, Cliente 3]
33ce2b5a-e6dd-4d25-980e-622bc8d2da32, [20:17:18:961:73038961:961728000, Cliente 3]
3eeb5dc9-6eb7-4a85-a884-1796b8472621, [20:17:18:961:73038961:961728000, Cliente 3]
2889301e-7ce8-445f-9a5d-5e6ec9c3ccbf, [20:17:18:961:73038961:961728000, Cliente 3]
6df6b58f-66d5-4856-8167-114eac58d3d3, [20:17:18:961:73038961:961728000, Cliente 3]
0dbbbf15-5815-4c89-a7ab-e50c5691a331, [20:17:18:961:73038961:961728000, Cliente 3]
0aed56e1-63ec-44c2-89b8-7357eba318b8, [20:17:18:961:73038961:961728000, Cliente 3]
57231fac-4a0d-4014-90e2-01af126380da, [20:17:18:961:73038961:961728000, Cliente 3]
64c0da6d-4ec1-4907-a3ef-41ec4b2415d9, [20:17:18:961:73038961:961728000, Cliente 3]
a9135f13-8528-4270-86b4-1cb8fc30ba32, [20:17:18:961:73038961:961728000, Cliente 3]
a5984c5a-6855-45eb-8cdc-ee1f226728ee, [20:17:18:961:73038961:961728000, Cliente 3]
42055090-8f94-43f4-8961-d83c8f087814, [20:17:18:961:73038961:961728000, Cliente 3]
81ff3ee7-8df4-42f4-a336-a092c3857452, [20:17:18:961:73038961:961728000, Cliente 3]
abe0fecd-8bfb-4dab-81b8-abdac813fc39, [20:17:18:961:73038961:961728000, Cliente 3]
362449f3-09be-4dde-a227-57bae625e728, [20:17:18:961:73038961:961728000, Cliente 3]
3a0416cb-9815-45f3-8265-a55843d70f0c, [20:17:18:961:73038961:961728000, Cliente 3]
e1a18e5d-263f-4f2a-b24f-c09e4c7d8d25, [20:17:18:961:73038961:961728000, Cliente 3]
2470e6c9-ffb6-445d-b6e3-39b9c4606381, [20:17:18:961:73038961:961728000, Cliente 3]
fe348968-724d-4ab1-8eb4-b3c8d326bbb6, [20:17:18:961:73038961:961728000, Cliente 3]
09ccfcd8-e434-470e-b607-d051a5cb5f4e, [20:17:18:961:73038961:961728000, Cliente 3]
c907597c-f3d6-4ad6-96b2-99766205c43f, [20:17:18:961:73038961:961728000, Cliente 3]
de12efde-d850-4e37-b906-a0bb3ac1c7d6, [20:17:18:961:73038961:961728000, Cliente 3]
cd85ea5a-0b68-4933-a2c2-309ae3b2bf16, [20:17:18:961:73038961:961728000, Cliente 3]
3cc11c30-ff3a-4e61-b3c7-624dede92c23, [20:17:18:961:73038961:961728000, Cliente 3]
e92bffe3-a4ce-4189-90d0-dd50450992fa, [20:17:18:961:73038961:961728000, Cliente 3]
63e379bf-9d8b-4335-a954-6f9bf1d5c9b8, [20:17:18:961:73038961:961728000, Cliente 3]
fac233b6-d67b-492f-af34-09719b3c0fc8, [20:17:18:961:73038961:961728000, Cliente 3]
696ea021-25d0-4f86-8c27-35162799e703, [20:17:18:961:73038961:961728000, Cliente 3]
88ca4f31-5850-445a-96eb-f6baf409def1, [20:17:18:961:73038961:961728000, Cliente 3]
6dac3cd7-a4cf-4f46-b736-e4301e930599, [20:17:18:961:73038961:961728000, Cliente 3]
fa191fea-d9d7-47d6-9d31-dd70893c74b9, [20:17:18:961:73038961:961728000, Cliente 3]
7df3b67b-1f66-4600-b44d-a403ba73533e, [20:17:18:961:73038961:961728000, Cliente 3]
ed12fb66-bcd9-4bc6-97e1-796e0b139fe5, [20:17:18:961:73038961:961728000, Cliente 3]
219cbb72-b1e2-4b42-aa70-7a0227b20ebd, [20:17:18:961:73038961:961728000, Cliente 3]
6cf1e972-5f5d-4353-8d5b-822cda0d4fd1, [20:17:18:961:73038961:961728000, Cliente 3]
baa9ed4d-70ef-4035-8a0e-468e20fe0f41, [20:17:18:961:73038961:961728000, Cliente 3]
f44c1f7a-0e77-444d-b4f3-d8dda4946cd1, [20:17:18:961:73038961:961728000, Cliente 3]
78ca318f-54dd-4e4d-a229-306ed4da966b, [20:17:18:961:73038961:961728000, Cliente 3]
3ea8c7ef-27c2-424f-b453-5d2da384ae1b, [20:17:18:961:73038961:961728000, Cliente 3]
785eb30a-50ed-4c58-ad2a-54b623b6d3ee, [20:17:18:961:73038961:961728000, Cliente 3]
e468360a-d83b-48fb-839c-6c93a83a2c3f, [20:17:18:961:73038961:961728000, Cliente 3]
86555f1f-6cb4-4c4a-a4a3-662ce75b6c37, [20:17:18:961:73038961:961728000, Cliente 3]
88de8103-8f54-40ee-b8dd-160195c46d44, [20:17:19:955:73039955:955083000, Cliente 4]
a87b1f73-4c01-45f3-80fe-2f0ec9c0257d, [20:17:19:955:73039955:955083000, Cliente 4]
27129926-6ec5-4acd-8328-33fe4f02a38f, [20:17:19:955:73039955:955083000, Cliente 4]
a43b8a29-31bf-49f3-bb7d-9d72e758c0b2, [20:17:19:955:73039955:955083000, Cliente 4]
f0f297f7-dfb9-4a0f-a1e4-d3078439107e, [20:17:19:955:73039955:955083000, Cliente 4]
aa82adf7-e28e-46e3-9489-1084a4bb3214, [20:17:19:955:73039955:955083000, Cliente 4]
f560d780-43ad-4189-9101-f23be5c4679d, [20:17:19:955:73039955:955083000, Cliente 4]
91c136b0-649d-4039-8a8d-d260d5695688, [20:17:19:955:73039955:955083000, Cliente 4]
39787074-7bad-4d5c-b8e2-b73a2ad17773, [20:17:19:955:73039955:955083000, Cliente 4]
cdb8ad10-a588-478c-881d-c1ae876061dc, [20:17:19:955:73039955:955083000, Cliente 4]
0aa91cdf-b1ce-4791-9201-d01f212ff0b4, [20:17:19:955:73039955:955083000, Cliente 4]
466cf5f9-cffb-4bc4-b429-2dbc542c43e7, [20:17:19:955:73039955:955083000, Cliente 4]
2d2ace0e-951b-476c-8237-08c8bdcbc3ab, [20:17:19:955:73039955:955083000, Cliente 4]
02e9221d-8a2c-46a5-a202-fa2df409bf00, [20:17:19:955:73039955:955083000, Cliente 4]
309eaab9-0a5e-4ebb-9b97-3aebf42ede2a, [20:17:19:955:73039955:955083000, Cliente 4]
0ca707f9-7f6d-4cea-a8c7-098225492a87, [20:17:19:955:73039955:955083000, Cliente 4]
e697eaf0-c5a6-4e02-b12c-e4a8d720430d, [20:17:19:955:73039955:955083000, Cliente 4]
e8e8ee7e-ce20-49ed-9547-8496d75fb50c, [20:17:19:955:73039955:955083000, Cliente 4]
a8634022-0809-4b12-98c3-65eb40b46ccb, [20:17:19:955:73039955:955083000, Cliente 4]
14b6f395-81ea-47c8-9117-65c2a030fde6, [20:17:19:955:73039955:955083000, Cliente 4]
a42ebe3c-c978-4432-b62e-585d5acfcb87, [20:17:19:955:73039955:955083000, Cliente 4]
8ac56ade-5290-4809-a010-76f8095d3805, [20:17:19:955:73039955:955083000, Cliente 4]
7a9df54f-6d3e-4d13-83e5-f8aa4faa7548, [20:17:19:955:73039955:955083000, Cliente 4]
9d84b621-a87b-4bb2-932b-dfbbe20bb5e2, [20:17:19:955:73039955:955083000, Cliente 4]
97562601-ac4c-4bc4-8014-7f2f9b6be741, [20:17:19:955:73039955:955083000, Cliente 4]
e810a9d1-4c2e-4c7e-8195-202ba2f1b86c, [20:17:19:955:73039955:955083000, Cliente 4]
dc9b41dc-2c7b-4131-8cec-f10411f66d0e, [20:17:19:955:73039955:955083000, Cliente 4]
307cb1dd-29b9-499b-a29d-949a061e02cd, [20:17:19:955:73039955:955083000, Cliente 4]
14b54d0c-09b1-4a96-9373-0ff215a7c661, [20:17:19:955:73039955:955083000, Cliente 4]
0e0a3798-399a-44bf-9be4-5f8b7ce3aa7e, [20:17:19:955:73039955:955083000, Cliente 4]
15445475-4022-4a23-be2d-6cd9a9ef45eb, [20:17:19:955:73039955:955083000, Cliente 4]
06ce814f-8948-4bc3-848d-0201624e2b29, [20:17:19:955:73039955:955083000, Cliente 4]
84c800ac-5433-4842-b434-5158348d5f72, [20:17:19:955:73039955:955083000, Cliente 4]
5ba4eb43-bfea-458f-a57b-eb12a9a3f1b0, [20:17:19:955:73039955:955083000, Cliente 4]
8b0a3f4d-84c2-462f-b680-1d8374f62e42, [20:17:19:955:73039955:955083000, Cliente 4]
4fd587de-9948-4dd9-8a5c-ddee097900f5, [20:17:19:955:73039955:955083000, Cliente 4]
64999ed4-bc4d-458f-92d4-412a95cd6119, [20:17:19:955:73039955:955083000, Cliente 4]
b411d31b-ea24-46d5-9e87-58ec81678070, [20:17:19:955:73039955:955083000, Cliente 4]
f25e63da-e9ce-4823-8faf-76e56a7665db, [20:17:19:955:73039955:955083000, Cliente 4]
c3903b9c-15e8-400f-a4e8-f9c413cdb7b1, [20:17:19:955:73039955:955083000, Cliente 4]
40d3bfac-789e-4291-af53-94571ac830e0, [20:17:19:955:73039955:955083000, Cliente 4]
7e33c731-ef73-4277-8d87-d74f510f9176, [20:17:19:955:73039955:955083000, Cliente 4]
8fdad296-2504-4fd5-b2bf-b6020fa30949, [20:17:19:955:73039955:955083000, Cliente 4]
54196bd6-c2bf-403d-b048-9f4d4c08ff2c, [20:17:19:955:73039955:955083000, Cliente 4]
baf3271a-2363-43ca-96f0-f8b43a41ad44, [20:17:19:955:73039955:955083000, Cliente 4]
723be531-2c11-4f02-8cf0-ecb37907937b, [20:17:19:955:73039955:955083000, Cliente 4]
2fef4d97-961c-47dc-8d26-8abd0ada33a0, [20:17:19:955:73039955:955083000, Cliente 4]
d7ca0e59-9894-409e-85ab-17d411b96bd7, [20:17:19:955:73039955:955083000, Cliente 4]
474fd261-3d04-4e1f-b92f-0af7fab2e7d7, [20:17:19:955:73039955:955083000, Cliente 4]
09729435-b00a-4dd0-9b29-47270848c036, [20:17:19:955:73039955:955083000, Cliente 4]
00a2b285-48e1-40b7-bd68-d61d6a9796be, [20:17:20:983:73040983:983252000, Cliente 5]
11fa2cc4-e46b-4ade-a979-e88bbd34dd14, [20:17:20:983:73040983:983252000, Cliente 5]
2addadab-8118-477c-834f-4403792c1bdf, [20:17:20:983:73040983:983252000, Cliente 5]
214b264e-7a2f-400e-ba41-0451445dd245, [20:17:20:983:73040983:983252000, Cliente 5]
598c1159-5003-4d8d-9b58-3d710642e41b, [20:17:20:983:73040983:983252000, Cliente 5]
088e5404-8bcd-47db-84d1-a3c254add847, [20:17:20:983:73040983:983252000, Cliente 5]
4a774f78-40f8-4823-a33d-706bb436d724, [20:17:20:983:73040983:983252000, Cliente 5]
22866514-e871-4b64-bef7-a4f0bd328a05, [20:17:20:983:73040983:983252000, Cliente 5]
ceaee182-0bb0-4536-8895-5ddda86780fd, [20:17:20:983:73040983:983252000, Cliente 5]
bf7ce26c-718a-43e0-b8e9-b874fc31245d, [20:17:20:983:73040983:983252000, Cliente 5]
9a3e86c1-a63b-46e3-a6b8-8f7d54a81a66, [20:17:20:983:73040983:983252000, Cliente 5]
73e04f0f-28ef-48a5-8549-d995162b9058, [20:17:20:983:73040983:983252000, Cliente 5]
70fe9340-82d4-45b3-86f5-501b58a17dab, [20:17:20:983:73040983:983252000, Cliente 5]
57cc5f4b-8379-4c2b-99d1-4e649fdf79a0, [20:17:20:983:73040983:983252000, Cliente 5]
408a983e-a4c9-4aaf-8448-8ee4d69931ce, [20:17:20:983:73040983:983252000, Cliente 5]
36f4e46b-96fd-43fc-875e-44c59a63cf6e, [20:17:20:983:73040983:983252000, Cliente 5]
02fd2d93-7ebd-405a-8ffd-3bc24a691049, [20:17:20:983:73040983:983252000, Cliente 5]
0d203528-86a0-4213-adf1-40ca52d04365, [20:17:20:983:73040983:983252000, Cliente 5]
