f05bfd13-0acb-4c11-94d2-38907f397865, [19:48:01:950:71281950:950586000, Cliente 3]
eff308d7-7176-4d39-a8a7-7c0452aea1fc, [19:48:01:950:71281950:950586000, Cliente 3]
42d4183f-ce21-4f5d-8866-b8895da9f971, [19:48:01:950:71281950:950586000, Cliente 3]
962143f0-8e7c-4dfc-a8e6-6660984e154e, [19:48:01:950:71281950:950586000, Cliente 3]
55effa80-f90a-4e9c-b3eb-da75be33a55e, [19:48:01:950:71281950:950586000, Cliente 3]
bcf85fcb-58cb-4b22-be56-35ecff0aca6a, [19:48:01:950:71281950:950586000, Cliente 3]
6d652156-e076-4d26-a4ef-0a23e510202a, [19:48:01:950:71281950:950586000, Cliente 3]
07490e9a-f85d-4ff8-85fa-95c3348747aa, [19:48:01:950:71281950:950586000, Cliente 3]
5b1fd77b-daf2-49f7-9bb3-09651399d332, [19:48:01:950:71281950:950586000, Cliente 3]
a9d906ae-0b20-4ffd-a809-cd52f2fc6e3d, [19:48:01:950:71281950:950586000, Cliente 3]
3357dfb2-50fb-4ff6-be3c-c060ad100bc0, [19:48:01:950:71281950:950586000, Cliente 3]
3d219c58-e3b0-43ea-8c61-7e8883ebf068, [19:48:01:950:71281950:950586000, Cliente 3]
d532122e-74ff-4af7-92f4-3c3fd3df66b3, [19:48:01:950:71281950:950586000, Cliente 3]
78531da8-1b07-43bf-a156-43cbb9d8a5ec, [19:48:01:950:71281950:950586000, Cliente 3]
19669ba9-cc86-46b1-8df8-c61defb4122f, [19:48:01:950:71281950:950586000, Cliente 3]
068b08c8-d3f7-4fef-bb9e-fe03edc9be9f, [19:48:01:950:71281950:950586000, Cliente 3]
98a5a33f-5a71-467f-9c9c-1450d3c53c47, [19:48:01:950:71281950:950586000, Cliente 3]
dcf7a764-1b18-4497-9b05-fdf488239015, [19:48:01:950:71281950:950586000, Cliente 3]
aa66c9ec-0af8-48f6-99ec-97a2fa05fba4, [19:48:01:950:71281950:950586000, Cliente 3]
712c9ea6-9c2d-4945-8403-b673c9ca7e47, [19:48:01:950:71281950:950586000, Cliente 3]
73123e3a-deda-4b27-b662-f4719edff922, [19:48:01:950:71281950:950586000, Cliente 3]
8c986bfc-6544-4aaf-a141-1e0bfd0013cc, [19:48:01:950:71281950:950586000, Cliente 3]
e699a2db-e15e-4a89-86b5-1025cfbbcbf2, [19:48:02:968:71282968:968480000, Cliente 4]
49824b7a-5c70-4c56-8c37-4f0f9663e990, [19:48:02:968:71282968:968480000, Cliente 4]
d1b2babd-488d-4d39-8530-a52a5297e0d7, [19:48:02:968:71282968:968480000, Cliente 4]
52b52e2c-2898-4a9a-b9fa-1fb4fddb5411, [19:48:02:968:71282968:968480000, Cliente 4]
208e398c-004f-4024-8a6b-5432b0aa4f42, [19:48:02:968:71282968:968480000, Cliente 4]
57ffe6e2-749c-43f4-a3d6-148b4b30a96f, [19:48:02:968:71282968:968480000, Cliente 4]
4be173c5-f342-4beb-85dc-ce788a249c78, [19:48:02:968:71282968:968480000, Cliente 4]
af14a638-3b39-41aa-8801-50722de61782, [19:48:02:968:71282968:968480000, Cliente 4]
0c2abd35-2323-481a-8986-e21f9648f493, [19:48:02:968:71282968:968480000, Cliente 4]
6468673f-392e-43ea-8cbe-a844932c4ccb, [19:48:02:968:71282968:968480000, Cliente 4]
8f09c78e-56c0-4725-bb20-8654ed5f0688, [19:48:02:968:71282968:968480000, Cliente 4]
e7d2eeb9-d359-4c18-b94c-fec4a5e58f7d, [19:48:02:968:71282968:968480000, Cliente 4]
873b9d97-3e37-4129-9e94-572ce5cf53aa, [19:48:02:968:71282968:968480000, Cliente 4]
14267dbb-cc87-4923-ad8b-29fabcf3f091, [19:48:02:968:71282968:968480000, Cliente 4]
576fbc24-41ba-4641-8a37-195b9b230856, [19:48:02:968:71282968:968480000, Cliente 4]
686e8af4-1b9d-4e0d-b251-8a5a183b840c, [19:48:02:968:71282968:968480000, Cliente 4]
697f4cfe-4dfd-45f3-b41e-6409690c17c3, [19:48:02:968:71282968:968480000, Cliente 4]
971f3848-ee20-4adf-b2f0-4860b546325a, [19:48:02:968:71282968:968480000, Cliente 4]
